age;bmi;plz;secret
97;20.28;1927;1
74;18.0;4265;3
58;22.28;6209;5
6;10.26;5527;10
81;15.23;1580;9
23;30.92;4316;5
55;22.91;4350;0
44;25.24;9236;7
58;29.58;1430;8
22;28.16;2395;8
53;28.88;2728;4
66;12.57;5214;4
75;16.63;8220;5
92;10.26;5899;8
95;30.04;9264;6
96;22.82;4302;8
49;26.0;1972;6
47;21.52;9073;6
56;26.37;1711;4
45;26.12;4331;3
82;18.62;5041;4
98;26.13;4272;3
1;29.05;9665;3
6;17.76;1409;5
78;14.53;7202;2
57;14.85;3393;6
66;21.54;9854;8
79;23.42;4607;5
95;16.88;3275;10
96;16.51;1955;10
99;17.29;8221;9
84;14.63;4570;10
96;16.9;3784;3
24;24.95;7348;3
32;14.38;7288;3
1;17.89;8528;9
43;26.96;5152;7
2;19.96;9739;1
10;25.83;7302;9
90;28.92;2219;10
87;26.63;4929;9
83;29.55;8138;6
50;27.92;9676;7
50;15.68;5223;7
95;20.93;3559;0
100;13.23;6124;2
62;26.0;9201;2
48;20.45;8209;6
86;11.38;6178;0
57;17.61;8734;6
92;17.44;6558;5
96;14.7;3584;2
92;16.39;1948;8
84;27.08;7009;9
33;30.08;9603;7
89;21.04;6065;5
28;25.45;6431;3
98;23.74;8698;5
55;15.76;9945;10
96;29.92;4646;2
2;23.6;9491;8
13;15.41;2629;5
8;29.36;2305;6
16;15.43;3487;1
15;12.68;4234;6
67;20.95;5236;5
37;10.94;6163;8
74;18.86;3209;1
9;18.95;2487;3
98;23.59;4744;2
72;21.38;4185;8
97;16.39;8096;0
10;13.45;5307;8
28;28.61;5520;10
37;18.12;8947;5
22;22.44;9715;10
12;28.67;5024;3
11;26.04;6078;1
23;21.41;1424;8
82;19.21;5439;5
58;20.03;5328;2
72;15.69;5248;9
84;30.65;6789;9
31;16.95;2379;3
63;28.71;9881;4
22;21.15;5005;2
6;16.24;5974;5
41;24.31;2237;8
32;26.16;1967;2
63;19.21;5458;4
84;18.51;2531;5
44;23.41;7557;5
22;18.02;9686;10
59;26.27;5493;6
83;28.18;6276;4
36;23.14;8890;10
99;18.81;9165;9
12;16.0;4591;7
0;15.89;1209;0
37;12.03;2376;9
38;12.91;3326;0
92;15.15;1286;8
16;16.28;1233;5
8;10.39;6225;4
17;17.33;1668;1
77;30.62;1805;5
48;25.09;9148;5
20;22.06;8613;1
57;25.81;4602;0
45;28.52;7346;4
84;13.87;9430;4
94;22.37;4495;5
55;12.7;5808;0
81;17.64;2538;8
28;30.66;8306;5
70;13.77;8815;2
57;28.15;8137;6
30;16.89;3542;7
19;19.31;8600;6
70;12.65;5637;1
35;17.12;3538;4
64;22.07;8324;4
70;18.77;4873;3
80;19.79;8679;8
99;23.61;2532;3
5;24.7;6585;4
71;17.99;3346;2
20;27.03;3764;2
5;13.83;9711;3
53;30.12;8851;10
14;22.84;8108;2
43;28.6;2675;7
14;21.53;3776;4
66;22.67;9221;1
93;30.58;5111;4
20;26.64;5924;4
33;17.19;7613;5
61;14.15;3279;9
9;27.41;2443;3
51;20.36;4927;4
11;15.58;9899;5
51;18.34;2666;8
60;19.53;5397;6
61;10.4;1095;1
23;11.97;3748;4
9;24.88;5805;1
38;24.29;2818;1
28;28.9;1332;1
3;30.78;2884;4
76;25.01;1297;3
3;10.86;5236;2
90;16.65;3440;7
65;23.94;3865;7
77;15.9;8470;1
71;10.94;4286;8
84;20.03;2942;3
71;28.6;6821;0
99;14.74;6588;10
74;11.1;1909;7
72;25.06;7806;3
99;27.66;9246;4
71;30.38;9227;10
38;15.07;5847;9
91;27.1;2587;6
43;27.48;4314;4
1;23.79;9301;1
33;13.63;4912;4
88;10.82;1474;7
16;27.58;6235;7
24;15.03;6256;10
35;19.56;9551;0
88;18.74;5752;9
98;18.46;8141;9
99;11.13;2922;7
64;10.11;9184;10
44;25.02;5165;9
72;18.34;3018;8
21;17.34;3523;6
43;18.55;3840;5
13;23.91;9702;5
6;12.15;9159;0
80;16.38;8350;3
12;28.26;6569;3
21;28.34;8283;7
35;13.34;5662;6
41;10.04;9595;9
84;15.85;3142;3
53;10.22;2859;6
78;27.96;7461;3
62;28.82;1839;10
45;27.88;8539;5
32;23.92;5423;3
55;15.57;5390;2
36;14.85;2707;2
96;28.57;8716;3
24;19.41;2428;7
50;25.46;9785;6
78;29.82;7181;7
44;12.11;8164;0
24;27.57;8119;7
59;14.64;4118;8
24;21.39;6070;8
31;11.97;7747;6
78;14.19;4271;4
93;30.14;2170;9
87;19.38;1148;3
16;17.87;7331;6
84;22.14;4844;8
68;10.14;6235;8
15;16.51;3439;9
86;20.63;1691;3
27;24.23;7037;3
41;12.33;5864;6
11;27.0;1179;8
33;27.72;1213;10
89;22.22;4264;4
44;19.18;3636;0
56;18.65;9923;5
49;17.78;9870;4
2;24.5;2533;4
52;23.39;9478;6
91;22.77;2321;7
94;12.76;9991;5
68;18.0;8737;2
59;26.23;8004;9
5;12.63;1051;2
77;26.0;3315;9
28;28.73;4354;0
86;22.15;2401;0
78;22.75;6413;0
14;22.97;4822;2
95;29.49;8062;1
90;22.17;4343;5
31;15.63;6083;4
96;10.02;2862;5
31;20.28;6756;5
15;21.61;1447;1
37;10.51;8528;5
37;30.65;7057;7
3;18.89;2485;3
38;27.59;5758;5
31;22.38;5578;8
30;16.91;8498;1
65;14.12;8786;10
56;30.87;7770;2
87;11.05;3661;10
78;10.23;9716;3
29;18.25;9945;9
73;16.42;2489;9
86;18.62;2201;7
47;27.44;2952;6
66;19.13;4653;7
25;23.36;2019;9
59;22.83;4667;5
80;23.22;9202;2
81;10.43;3579;10
3;12.68;3194;0
24;20.88;3793;4
38;22.69;2546;5
33;26.63;3356;7
20;15.23;4743;1
82;18.17;8449;1
5;14.51;3273;5
24;25.17;4470;5
70;24.57;6481;2
26;16.43;8679;1
17;13.99;2281;9
30;25.21;5564;0
32;23.06;4051;6
95;11.83;9396;1
52;12.85;9265;8
3;30.62;5650;8
68;25.8;1687;2
46;13.47;2236;2
49;14.95;4190;3
16;20.68;9734;3
70;26.83;2519;8
76;29.84;6074;8
89;21.61;3555;5
80;18.89;6348;7
89;26.16;7913;1
56;12.65;9702;4
97;18.95;2929;10
98;19.46;2493;4
24;22.08;3345;8
12;20.64;1162;2
17;19.81;7286;10
2;13.02;3495;2
92;21.31;7308;5
23;25.76;7243;8
99;23.69;9619;4
13;17.01;5264;5
47;14.37;7760;6
73;23.37;3641;8
63;10.31;3336;8
93;16.15;3473;7
96;10.86;6598;7
5;15.74;6268;0
73;19.11;5947;4
25;12.72;6138;1
57;18.96;5679;3
34;26.56;6234;3
89;10.4;8535;7
71;28.9;9115;2
4;21.72;1868;7
72;30.86;4984;9
36;22.5;8507;3
64;29.86;2002;5
74;23.75;4618;5
100;20.86;1093;7
34;26.48;4137;7
87;30.01;8957;9
44;10.6;8597;8
56;29.21;5221;4
61;13.9;9393;3
72;14.91;6918;1
76;20.5;6839;7
72;15.23;6736;5
72;13.13;3542;7
94;25.34;4740;1
38;23.9;3938;5
24;23.47;4486;6
49;23.71;9049;3
85;15.1;8742;3
80;20.25;6769;9
32;16.28;7240;2
7;26.28;5258;8
38;17.94;5159;5
100;26.71;6252;6
74;20.79;8283;7
32;15.56;6357;6
36;25.18;9009;8
51;11.0;8648;9
51;12.81;1675;5
80;24.83;2130;6
72;25.5;3866;8
52;10.19;3888;9
60;10.11;8670;6
98;26.5;8989;3
87;28.43;2050;3
32;25.68;1443;2
26;28.72;1794;4
12;13.28;1803;10
3;19.0;4719;3
73;20.09;3219;0
36;17.56;1080;2
41;18.3;9996;8
79;22.03;1375;8
1;26.33;8000;9
38;13.07;4973;7
67;21.85;4446;5
52;13.65;4283;2
64;22.59;6917;8
33;20.22;3380;7
39;28.13;2655;2
12;26.49;5294;9
57;24.54;1455;10
41;29.47;5396;4
37;28.63;9718;5
50;18.01;3583;6
45;27.37;3495;8
55;12.11;5182;8
55;30.44;6564;5
51;16.52;9796;7
23;18.15;3890;8
69;30.61;7499;3
58;13.19;7992;6
54;30.42;4104;10
75;26.92;4080;4
0;12.35;9414;5
58;14.05;5986;5
55;25.03;5674;9
79;17.17;7238;9
73;16.21;5652;5
50;15.24;9820;6
86;19.68;6041;1
96;25.08;9453;2
11;15.71;4125;6
80;22.59;7444;8
27;21.41;4901;5
19;12.02;4445;9
81;28.0;2102;0
75;30.69;5657;7
2;15.92;8803;3
2;28.92;6324;1
47;11.28;8556;10
90;11.06;9566;7
98;26.09;6257;0
37;30.91;4872;10
81;24.17;9160;2
31;17.89;8827;4
81;17.79;4757;10
33;24.75;1871;1
79;27.47;4449;8
92;22.78;2178;8
27;20.3;8202;4
27;13.59;6957;9
35;10.9;8639;6
63;14.13;1746;6
46;30.88;2239;7
99;22.48;6517;6
18;14.21;4609;4
55;14.47;3652;9
33;29.12;6006;7
22;26.26;9117;4
12;11.26;3543;6
100;26.42;1390;9
1;27.34;5796;1
18;21.15;9965;4
57;24.47;6725;4
61;22.65;1499;6
48;20.78;9121;8
46;19.75;4911;6
49;18.27;9006;3
22;11.44;1014;10
100;15.85;7692;3
92;21.76;4480;8
46;22.92;3423;10
84;20.26;3211;5
94;21.16;6809;2
0;13.02;7442;7
34;16.27;9480;7
44;28.87;4125;8
35;11.7;8658;6
97;24.36;1419;7
92;14.95;3589;7
85;30.56;8362;10
90;23.62;8021;6
66;29.78;4019;1
22;28.49;8174;5
33;21.83;6696;3
59;12.3;4893;10
5;30.34;5017;9
78;12.88;1927;2
44;15.23;9946;5
80;30.0;2516;7
41;19.48;3060;6
62;22.96;6739;2
46;22.67;8642;10
20;19.76;4313;6
28;29.0;6416;3
13;28.43;4774;8
10;19.79;6977;8
88;12.92;5243;9
95;14.49;2251;9
64;12.54;5214;3
89;27.95;9537;2
35;26.84;9055;10
87;10.39;6948;4
3;28.45;4162;3
72;30.17;1329;1
91;30.32;3963;2
49;19.53;3955;3
83;13.3;4206;8
11;25.73;6582;2
74;29.11;9225;4
7;25.34;7670;5
52;21.89;8136;2
65;23.67;5837;10
34;30.23;8130;2
88;11.4;5865;8
27;29.13;9333;5
15;28.04;3826;1
83;21.33;5903;3
39;19.82;1140;4
82;26.03;1311;2
96;25.01;9634;2
49;17.83;1011;4
88;27.87;2916;2
92;20.56;1915;0
97;24.66;5639;2
20;20.16;9388;6
100;10.47;1457;3
80;16.94;6691;5
89;20.76;8751;3
13;17.73;2065;6
75;30.91;9438;0
25;25.88;1905;2
8;26.11;3426;6
27;29.04;3707;6
46;13.44;4537;9
74;11.21;5729;4
69;25.95;2963;9
29;20.49;5569;3
10;27.11;2567;4
10;14.47;7084;5
43;27.9;9600;8
17;29.34;3357;6
66;20.45;4648;8
29;26.93;4643;5
56;29.97;3878;6
24;18.41;2495;5
89;25.4;2900;2
73;18.45;6498;1
56;22.07;3803;2
92;18.82;4313;3
1;22.11;4191;10
68;28.91;3978;1
96;10.66;9286;5
86;25.59;4634;5
84;20.96;4401;2
21;17.44;5143;6
94;13.88;7372;9
85;13.23;9277;4
91;15.48;7735;9
23;26.15;6419;2
6;16.74;6752;8
11;19.18;7971;7
94;26.45;5562;4
5;17.73;5909;2
68;22.89;7061;6
28;11.27;1175;5
38;16.91;9296;5
6;27.56;8854;5
58;24.41;6462;2
86;11.96;3314;0
27;24.4;6807;3
96;10.62;2764;8
32;26.16;7012;4
38;27.72;8916;1
11;17.06;8870;7
6;23.96;5693;7
72;30.21;4317;10
91;25.07;7169;7
12;29.96;1149;2
8;19.99;3195;2
5;11.78;1972;6
40;26.86;4384;1
55;25.28;4216;5
14;17.26;3422;1
46;23.22;1279;3
31;24.11;4866;4
27;11.79;3102;1
21;29.15;7895;5
3;16.61;6763;3
6;29.14;8696;1
44;14.12;2889;9
69;12.97;1425;8
7;25.35;6962;3
84;28.35;3932;4
55;28.31;7832;7
50;17.98;1703;1
7;22.31;7005;10
19;13.1;2700;8
44;16.19;9519;9
31;17.9;2043;7
85;11.05;9480;4
88;15.36;8721;7
72;12.07;6567;5
25;26.25;9791;6
46;24.57;2081;0
68;11.49;1726;2
14;16.19;6347;7
79;22.17;4888;1
16;21.13;1542;2
37;19.71;6291;3
47;21.51;4255;5
5;12.19;3102;9
18;23.61;5360;10
63;23.72;6586;0
21;16.28;8006;7
34;28.37;3409;6
64;29.92;8796;1
18;27.05;8523;8
82;14.88;3471;8
10;10.4;4043;3
20;19.96;1667;9
78;17.52;1827;4
85;22.57;1550;0
6;23.1;1702;10
79;27.65;3421;2
57;20.4;6505;6
59;28.4;8573;7
84;21.9;5416;7
18;15.46;5999;8
14;19.8;1233;2
52;16.02;5743;0
69;16.66;6574;1
64;24.07;8977;3
3;10.65;8153;7
33;23.76;5110;10
79;14.5;8612;8
32;19.5;7500;5
94;23.91;5572;1
83;12.46;6584;1
55;25.02;3859;0
83;15.34;9495;10
33;30.4;6087;0
31;13.74;4478;3
62;12.4;1049;6
50;18.53;5675;9
78;27.93;7600;7
81;22.91;3093;0
80;15.05;8981;4
84;19.15;4824;2
75;27.94;1762;7
88;25.25;9831;8
59;23.03;7858;7
67;13.83;3867;9
5;15.44;8311;2
28;19.15;1345;1
88;23.02;2765;2
49;10.11;5226;6
70;18.58;4836;0
4;25.42;2232;5
6;11.15;1824;1
48;22.48;4967;2
59;25.37;8438;6
60;30.55;1748;1
31;26.27;4501;6
72;28.35;1219;3
44;10.15;7805;2
24;21.11;1067;4
39;25.19;4573;4
15;20.65;9393;2
61;17.16;2204;1
59;15.12;6576;5
57;30.24;3259;0
59;20.45;7674;4
16;17.82;7871;7
47;16.58;9698;6
3;13.88;1010;8
63;18.11;6306;7
84;14.2;9323;1
75;29.86;2755;7
41;13.64;8454;7
53;21.53;2158;1
25;21.12;4071;7
58;18.43;8370;8
88;26.06;9010;9
97;11.93;3077;8
97;21.48;1251;4
66;28.28;9892;1
29;25.98;3655;4
87;27.65;9528;1
86;10.22;5657;10
85;24.79;3371;4
89;16.81;7354;5
96;29.56;3012;9
30;11.5;9689;3
75;20.25;4556;7
10;17.23;1652;9
55;20.44;8779;9
67;16.48;6714;3
79;19.78;6437;6
89;15.77;9919;3
98;30.02;3317;7
67;20.41;3329;4
17;27.04;8815;5
17;29.86;2766;7
21;17.95;4135;5
95;22.23;8042;4
26;15.19;7411;3
75;27.77;7113;4
20;20.43;4321;5
59;18.47;9859;4
2;20.7;1012;10
45;18.01;9418;1
38;25.82;8396;0
83;22.79;5281;9
74;13.42;3147;3
67;22.65;8570;9
90;30.8;2944;1
68;16.66;6214;1
82;15.53;8802;10
5;29.01;6938;10
1;14.64;1533;2
84;30.78;6285;4
93;17.68;1671;8
80;14.37;7083;7
14;30.97;6418;7
36;10.62;9074;7
16;17.99;6435;8
91;12.04;9629;6
23;28.59;8531;3
73;22.66;5750;1
56;26.41;1587;1
12;19.36;7794;4
63;20.9;3256;5
70;13.8;5619;6
67;23.72;3282;8
81;10.17;1082;8
36;26.3;8485;9
47;16.48;7088;3
46;12.01;9732;8
52;20.13;5633;4
88;21.18;8470;0
65;11.89;3527;3
23;19.84;8625;8
57;21.56;2738;5
18;20.99;7944;0
58;28.97;1555;6
91;30.76;7087;9
15;18.1;1007;9
54;26.78;3043;1
42;27.46;2225;1
39;13.58;7681;9
57;12.91;9703;2
42;15.87;8505;8
62;16.76;3626;1
17;23.0;6932;4
3;28.7;8735;4
10;29.03;1651;6
15;21.86;2392;7
8;24.03;2893;8
45;22.23;9810;2
50;28.73;3661;9
4;11.99;7622;6
32;17.62;7251;7
90;18.72;6243;6
71;21.92;5626;4
82;12.43;8709;0
54;16.25;3456;1
8;14.75;4933;2
62;16.87;4892;7
17;11.02;9582;8
32;26.69;8396;3
33;16.93;9995;2
36;13.57;3182;10
45;26.84;7857;6
56;29.59;8101;0
79;17.21;7552;2
90;17.18;7012;2
54;15.54;4396;7
37;29.44;5986;2
4;19.9;1188;7
25;22.0;7881;4
46;20.84;2776;8
87;17.22;8126;0
88;26.29;3563;10
100;18.55;9761;8
39;15.79;3173;3
43;24.44;4070;2
58;29.1;6686;7
41;13.12;9356;2
38;11.09;4155;5
87;26.96;1684;2
31;27.36;7345;1
80;28.48;5656;6
50;21.15;7875;9
7;24.07;3534;9
7;30.28;2209;10
58;12.01;7276;6
73;24.35;6192;2
57;30.4;1305;5
68;18.44;2072;8
46;18.99;6076;9
20;11.89;6186;5
55;12.16;1753;6
40;20.03;6774;3
39;30.4;2570;7
22;30.91;9592;4
79;30.13;7689;3
50;18.4;8275;8
65;24.73;6616;5
67;22.22;4642;5
10;11.98;3504;5
55;16.65;8383;5
68;20.43;8896;4
15;30.23;1816;1
59;25.37;3729;7
61;17.5;1658;5
7;15.34;8676;2
49;18.57;1006;2
53;12.4;7123;2
16;13.25;8959;8
20;22.68;3359;9
6;15.86;2585;5
99;24.78;4802;10
94;17.04;4161;4
19;25.13;7310;7
40;14.15;3893;6
6;25.37;1906;5
44;20.09;8534;2
42;25.39;5481;2
67;29.59;3627;7
90;22.5;3292;5
47;11.38;6273;8
29;14.91;8314;9
38;20.71;9647;2
33;22.57;3773;4
23;28.18;9694;6
72;17.99;5424;5
2;10.88;9685;3
31;21.49;5381;2
50;17.14;8594;4
72;12.14;2579;8
90;26.56;8470;7
81;24.38;3174;4
36;20.13;6259;2
77;28.83;2454;6
91;29.51;9760;4
75;20.09;7074;3
5;23.69;2650;0
34;25.34;5680;3
49;21.9;1789;4
28;26.05;5242;8
28;28.25;1228;5
13;21.21;9666;9
54;19.47;4617;4
0;24.84;8487;5
69;11.88;7958;4
40;26.66;9723;8
52;29.35;3893;7
71;13.17;9207;7
86;29.9;8962;4
16;25.63;6952;5
46;22.16;9533;2
0;26.55;3374;7
40;19.97;3336;4
41;23.8;9438;9
24;13.69;9801;8
34;24.35;8045;9
56;16.07;5628;0
15;25.27;4217;2
70;14.79;5302;0
7;23.6;6913;10
92;25.92;4471;4
52;11.13;3528;7
7;27.95;1391;4
93;30.15;8393;1
71;23.28;7883;9
71;14.78;7856;7
20;17.03;8482;8
37;29.54;4739;2
11;23.79;8726;0
96;10.08;7257;5
13;28.67;9777;4
43;27.29;7702;5
17;23.6;9816;3
38;22.27;7467;2
46;13.91;8898;5
53;22.87;3220;4
77;21.53;5209;9
81;30.75;4300;0
5;11.43;8932;9
70;12.09;9645;3
16;30.07;3133;2
53;10.56;9826;5
49;10.01;8390;2
70;28.14;9998;7
57;22.91;5087;9
2;17.8;8837;8
99;25.65;9568;4
68;22.14;5774;2
36;18.27;8598;10
51;14.68;3101;5
95;25.87;7821;7
67;13.25;7764;9
29;14.78;2143;6
67;11.58;3896;10
96;26.64;2256;2
62;15.29;4428;2
28;21.16;1722;6
1;11.66;4329;2
56;15.61;5320;9
31;23.01;2293;9
30;22.48;7597;8
46;20.52;7948;2
32;26.85;1809;2
72;26.78;7891;0
81;19.19;2696;5
68;26.47;1128;4
78;20.9;5786;8
33;23.98;9728;5
27;23.66;6165;7
48;24.74;8753;8
60;21.42;3904;9
91;16.74;9796;6
16;24.65;6589;7
5;12.35;3673;6
70;15.07;5642;6
18;27.51;1108;1
18;14.16;4373;7
25;26.95;7455;10
53;23.99;6957;3
95;16.85;3784;10
89;24.26;5778;9
67;30.26;8911;10
26;25.55;6832;6
24;29.1;2155;9
52;16.28;9122;0
90;24.55;1923;2
31;23.71;9251;2
73;30.29;3415;7
28;11.02;5640;4
43;13.66;3035;6
60;30.54;6072;7
30;15.91;6302;3
78;29.27;8501;3
77;29.06;8351;1
20;10.51;8313;6
86;20.92;1318;4
96;21.33;6490;2
27;21.5;2200;2
76;28.87;4354;3
23;21.62;6978;3
16;26.99;8848;6
11;27.68;4099;9
27;26.71;2538;2
44;12.76;2603;1
71;30.31;5770;7
1;13.49;5494;8
60;10.23;9694;0
94;18.49;5140;10
59;23.96;2068;5
10;13.25;7790;6
43;13.7;4063;1
23;26.63;6519;7
63;20.41;2488;7
51;29.59;4161;9
93;14.52;6136;6
55;24.67;1052;8
89;20.54;7193;3
12;19.31;8652;6
78;21.06;8899;7
87;22.15;8356;2
44;13.24;3903;10
4;17.79;2064;7
98;28.57;5999;0
90;27.76;6322;8
33;16.39;6196;0
26;13.52;6117;1
7;21.82;5302;1
52;12.86;3610;8
9;22.73;7468;0
94;24.09;2410;7
1;13.98;5382;8
16;18.65;4183;3
28;29.24;8056;2
5;27.29;6660;8
55;26.99;2400;3
62;18.76;3381;10
64;13.4;3016;0
47;30.75;5720;6
26;24.35;4912;5
84;30.56;2020;9
25;13.84;7070;9
51;17.62;4898;4
99;16.35;7070;3
5;23.88;7038;6
33;11.0;4199;3
96;30.81;1044;3
9;12.65;5746;7
96;15.39;5162;5
6;17.16;6416;2
39;28.28;2935;7
96;21.47;3062;6
34;23.36;4124;7
95;29.37;1176;7
18;23.87;4436;10
43;21.91;7824;0
51;19.24;1904;4
36;23.89;7969;0
67;20.18;4954;2
41;25.03;4378;8
34;12.51;5510;5
46;23.5;5552;6
2;17.04;9670;2
41;24.08;1365;7
14;27.29;4796;6
36;17.19;4361;8
32;21.96;5063;9
39;12.34;2896;8
99;23.35;4807;9
78;15.9;7567;6
30;10.22;4212;1
30;16.25;5625;7
9;23.81;4173;1
76;23.59;9300;6
32;12.91;4390;9
15;28.12;8245;9
40;19.25;5020;4
97;18.23;7533;10
98;28.63;5438;9
66;17.04;1889;0
40;15.52;4937;2
